Bond, E(UHF)_T, E(CCSD)_T, E(phRPA)_T, E(RDM-ph)_T
1.0, -1.07589041, -1.08890144, -1.10354176, -1.09903729
1.3, -1.12566802, -1.14406295, -1.16631880, -1.15715460
1.4, -1.12532437, -1.14592941, -1.17172550, -1.16007433
1.5, -1.12012124, -1.14317689, -1.17325812, -1.15839254
1.6, -1.11134971, -1.13711712, -1.17247508, -1.15340744
2.0, -1.05642988, -1.09607128, -1.17595121, -1.11636085
2.3, -1.00677865, -1.06054168, -1.20941758, -1.08295287
2.5, -0.97318463, -1.03832667, -1.12237942, -1.06143234
